source_row,model,ground_truth_valid,noise_free,template_frequency,template_failure,identical_structures,rare_N=1,filtered_N=1,rare_N<5,filtered_N<5,rare_N<10,filtered_N<10
0,gemini-3.6-flash-high,False,0,341,1,1,0,1,0,1,0,1
1,gemini-3.6-flash-high,True,1,9,0,0,0,0,0,0,1,1
2,gemini-3.6-flash-high,False,0,2022,0,0,0,0,0,0,0,0
3,gemini-3.6-flash-high,False,0,15526,0,0,0,0,0,0,0,0
4,gemini-3.6-flash-high,True,1,19810,1,0,0,1,0,1,0,1
5,gemini-3.6-flash-high,False,0,21688,1,1,0,1,0,1,0,1
6,gemini-3.6-flash-high,True,1,16,0,0,0,0,0,0,0,0
7,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
8,gemini-3.6-flash-high,True,1,14073,0,0,0,0,0,0,0,0
9,gemini-3.6-flash-high,True,1,19,0,0,0,0,0,0,0,0
10,gemini-3.6-flash-high,True,1,194,1,0,0,1,0,1,0,1
11,gemini-3.6-flash-high,True,1,37,1,1,0,1,0,1,0,1
12,gemini-3.6-flash-high,True,1,362,0,0,0,0,0,0,0,0
13,gemini-3.6-flash-high,True,1,10136,0,0,0,0,0,0,0,0
14,gemini-3.6-flash-high,False,0,13,1,0,0,1,0,1,0,1
15,gemini-3.6-flash-high,True,1,14073,0,0,0,0,0,0,0,0
16,gemini-3.6-flash-high,True,1,4814,0,0,0,0,0,0,0,0
17,gemini-3.6-flash-high,True,1,44,0,0,0,0,0,0,0,0
18,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
19,gemini-3.6-flash-high,True,1,31,0,0,0,0,0,0,0,0
20,gemini-3.6-flash-high,True,1,20,0,0,0,0,0,0,0,0
21,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
22,gemini-3.6-flash-high,True,1,26,0,0,0,0,0,0,0,0
23,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
24,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
25,gemini-3.6-flash-high,True,1,169,0,0,0,0,0,0,0,0
26,gemini-3.6-flash-high,True,1,2507,0,0,0,0,0,0,0,0
27,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
28,gemini-3.6-flash-high,True,1,90,0,0,0,0,0,0,0,0
29,gemini-3.6-flash-high,True,1,98,0,0,0,0,0,0,0,0
30,gemini-3.6-flash-high,True,1,2373,1,1,0,1,0,1,0,1
31,gemini-3.6-flash-high,True,1,10,0,0,0,0,0,0,0,0
32,gemini-3.6-flash-high,True,1,2849,0,0,0,0,0,0,0,0
33,gemini-3.6-flash-high,True,1,7,0,0,0,0,0,0,1,1
34,gemini-3.6-flash-high,True,1,28,0,0,0,0,0,0,0,0
35,gemini-3.6-flash-high,False,0,25483,1,0,0,1,0,1,0,1
36,gemini-3.6-flash-high,True,1,25483,0,0,0,0,0,0,0,0
37,gemini-3.6-flash-high,True,1,7,0,0,0,0,0,0,1,1
38,gemini-3.6-flash-high,True,1,1032,0,0,0,0,0,0,0,0
39,gemini-3.6-flash-high,True,1,681,0,0,0,0,0,0,0,0
40,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
41,gemini-3.6-flash-high,True,1,486,0,0,0,0,0,0,0,0
42,gemini-3.6-flash-high,False,0,21688,1,1,0,1,0,1,0,1
43,gemini-3.6-flash-high,True,1,25483,0,0,0,0,0,0,0,0
44,gemini-3.6-flash-high,True,1,187,0,0,0,0,0,0,0,0
45,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
46,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
47,gemini-3.6-flash-high,True,1,25483,0,0,0,0,0,0,0,0
48,gemini-3.6-flash-high,True,1,2373,1,1,0,1,0,1,0,1
49,gemini-3.6-flash-high,True,1,25483,0,0,0,0,0,0,0,0
50,gemini-3.6-flash-high,True,1,27005,0,0,0,0,0,0,0,0
51,gemini-3.6-flash-high,True,1,48,0,0,0,0,0,0,0,0
52,gemini-3.6-flash-high,True,1,696,0,0,0,0,0,0,0,0
53,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
54,gemini-3.6-flash-high,True,1,21688,1,0,0,1,0,1,0,1
55,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
56,gemini-3.6-flash-high,True,1,486,0,0,0,0,0,0,0,0
57,gemini-3.6-flash-high,True,1,10,0,0,0,0,0,0,0,0
58,gemini-3.6-flash-high,True,1,25483,0,0,0,0,0,0,0,0
59,gemini-3.6-flash-high,True,1,25483,0,0,0,0,0,0,0,0
60,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
61,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
62,gemini-3.6-flash-high,True,1,35,0,0,0,0,0,0,0,0
63,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
64,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
65,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
66,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
67,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
68,gemini-3.6-flash-high,False,0,62123,1,0,0,1,0,1,0,1
69,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
70,gemini-3.6-flash-high,False,0,21688,1,0,0,1,0,1,0,1
71,gemini-3.6-flash-high,True,1,8,0,0,0,0,0,0,1,1
72,gemini-3.6-flash-high,True,1,25483,0,0,0,0,0,0,0,0
73,gemini-3.6-flash-high,True,1,566,1,0,0,1,0,1,0,1
74,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
75,gemini-3.6-flash-high,True,1,94,1,1,0,1,0,1,0,1
76,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
77,gemini-3.6-flash-high,True,1,2507,0,0,0,0,0,0,0,0
78,gemini-3.6-flash-high,True,1,45357,0,0,0,0,0,0,0,0
79,gemini-3.6-flash-high,False,0,21688,1,0,0,1,0,1,0,1
80,gemini-3.6-flash-high,True,1,21688,1,0,0,1,0,1,0,1
81,gemini-3.6-flash-high,True,1,2373,1,1,0,1,0,1,0,1
82,gemini-3.6-flash-high,True,1,10136,0,0,0,0,0,0,0,0
83,gemini-3.6-flash-high,True,1,989,0,0,0,0,0,0,0,0
84,gemini-3.6-flash-high,False,0,21688,1,0,0,1,0,1,0,1
85,gemini-3.6-flash-high,True,1,21688,1,1,0,1,0,1,0,1
86,gemini-3.6-flash-high,True,1,10668,0,0,0,0,0,0,0,0
87,gemini-3.6-flash-high,True,1,25483,0,0,0,0,0,0,0,0
88,gemini-3.6-flash-high,True,1,2373,1,1,0,1,0,1,0,1
89,gemini-3.6-flash-high,False,0,21688,1,0,0,1,0,1,0,1
90,gemini-3.6-flash-high,True,1,25483,0,0,0,0,0,0,0,0
91,gemini-3.6-flash-high,True,1,681,0,0,0,0,0,0,0,0
92,gemini-3.6-flash-high,False,0,111,1,0,0,1,0,1,0,1
93,gemini-3.6-flash-high,False,0,25483,1,0,0,1,0,1,0,1
94,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
95,gemini-3.6-flash-high,True,1,169,1,1,0,1,0,1,0,1
96,gemini-3.6-flash-high,True,1,25,1,0,0,1,0,1,0,1
97,gemini-3.6-flash-high,True,1,62123,0,0,0,0,0,0,0,0
98,gemini-3.6-flash-high,True,1,25483,0,0,0,0,0,0,0,0
99,gemini-3.6-flash-high,True,1,11,0,0,0,0,0,0,0,0
100,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
101,gemini-3.6-flash-high,False,0,6,0,0,0,0,0,0,1,1
102,gemini-3.6-flash-high,True,1,5,0,0,0,0,0,0,1,1
103,gemini-3.6-flash-high,True,1,29,0,0,0,0,0,0,0,0
104,gemini-3.6-flash-high,False,0,2,1,0,0,1,1,1,1,1
105,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
106,gemini-3.6-flash-high,True,1,15,0,0,0,0,0,0,0,0
107,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
108,gemini-3.6-flash-high,False,0,4,1,0,0,1,1,1,1,1
109,gemini-3.6-flash-high,False,0,3,0,0,0,0,1,1,1,1
110,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
111,gemini-3.6-flash-high,True,1,393,0,0,0,0,0,0,0,0
112,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
113,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
114,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
115,gemini-3.6-flash-high,True,1,5,0,0,0,0,0,0,1,1
116,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
117,gemini-3.6-flash-high,True,1,8,0,0,0,0,0,0,1,1
118,gemini-3.6-flash-high,False,0,101,0,0,0,0,0,0,0,0
119,gemini-3.6-flash-high,False,0,393,1,0,0,1,0,1,0,1
120,gemini-3.6-flash-high,True,1,16,0,0,0,0,0,0,0,0
121,gemini-3.6-flash-high,True,1,26,0,0,0,0,0,0,0,0
122,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
123,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
124,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
125,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
126,gemini-3.6-flash-high,False,0,6,0,0,0,0,0,0,1,1
127,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
128,gemini-3.6-flash-high,False,0,2,1,0,0,1,1,1,1,1
129,gemini-3.6-flash-high,False,0,4,0,0,0,0,1,1,1,1
130,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
131,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
132,gemini-3.6-flash-high,True,1,103,0,0,0,0,0,0,0,0
133,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
134,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
135,gemini-3.6-flash-high,False,0,2,1,0,0,1,1,1,1,1
136,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
137,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
138,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
139,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
140,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
141,gemini-3.6-flash-high,False,0,3,0,0,0,0,1,1,1,1
142,gemini-3.6-flash-high,True,1,154,0,0,0,0,0,0,0,0
143,gemini-3.6-flash-high,False,0,3,0,0,0,0,1,1,1,1
144,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
145,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
146,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
147,gemini-3.6-flash-high,False,0,3,0,0,0,0,1,1,1,1
148,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
149,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
150,gemini-3.6-flash-high,False,0,7,0,0,0,0,0,0,1,1
151,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
152,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
153,gemini-3.6-flash-high,True,1,5,0,0,0,0,0,0,1,1
154,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
155,gemini-3.6-flash-high,False,0,3,0,0,0,0,1,1,1,1
156,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
157,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
158,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
159,gemini-3.6-flash-high,False,0,3,0,0,0,0,1,1,1,1
160,gemini-3.6-flash-high,True,1,295,1,0,0,1,0,1,0,1
161,gemini-3.6-flash-high,False,0,23,1,0,0,1,0,1,0,1
162,gemini-3.6-flash-high,False,0,3,0,0,0,0,1,1,1,1
163,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
164,gemini-3.6-flash-high,True,1,3,1,0,0,1,1,1,1,1
165,gemini-3.6-flash-high,False,0,5,0,0,0,0,0,0,1,1
166,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
167,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
168,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
169,gemini-3.6-flash-high,True,1,295,0,0,0,0,0,0,0,0
170,gemini-3.6-flash-high,False,0,4,0,0,0,0,1,1,1,1
171,gemini-3.6-flash-high,False,0,58,1,0,0,1,0,1,0,1
172,gemini-3.6-flash-high,False,0,24,1,0,0,1,0,1,0,1
173,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
174,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
175,gemini-3.6-flash-high,False,0,2,1,0,0,1,1,1,1,1
176,gemini-3.6-flash-high,True,1,57,0,0,0,0,0,0,0,0
177,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
178,gemini-3.6-flash-high,False,0,4,1,0,0,1,1,1,1,1
179,gemini-3.6-flash-high,False,0,10,0,0,0,0,0,0,0,0
180,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
181,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
182,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
183,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
184,gemini-3.6-flash-high,True,1,8,0,0,0,0,0,0,1,1
185,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
186,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
187,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
188,gemini-3.6-flash-high,False,0,4,0,0,0,0,1,1,1,1
189,gemini-3.6-flash-high,True,1,14,0,0,0,0,0,0,0,0
190,gemini-3.6-flash-high,False,0,6,1,0,0,1,0,1,1,1
191,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
192,gemini-3.6-flash-high,True,1,17,0,0,0,0,0,0,0,0
193,gemini-3.6-flash-high,False,0,8,0,0,0,0,0,0,1,1
194,gemini-3.6-flash-high,False,0,6,0,0,0,0,0,0,1,1
195,gemini-3.6-flash-high,False,0,2,1,0,0,1,1,1,1,1
196,gemini-3.6-flash-high,True,1,130,0,0,0,0,0,0,0,0
197,gemini-3.6-flash-high,True,1,23,0,0,0,0,0,0,0,0
198,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
199,gemini-3.6-flash-high,True,1,5,0,0,0,0,0,0,1,1
200,gemini-3.6-flash-high,True,1,4430,0,0,0,0,0,0,0,0
201,gemini-3.6-flash-high,False,0,5,1,0,0,1,0,1,1,1
202,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
203,gemini-3.6-flash-high,True,1,31173,0,0,0,0,0,0,0,0
204,gemini-3.6-flash-high,False,0,21688,1,0,0,1,0,1,0,1
205,gemini-3.6-flash-high,True,1,3070,0,0,0,0,0,0,0,0
206,gemini-3.6-flash-high,True,1,15526,0,0,0,0,0,0,0,0
207,gemini-3.6-flash-high,True,1,9,0,0,0,0,0,0,1,1
208,gemini-3.6-flash-high,True,1,15526,0,0,0,0,0,0,0,0
209,gemini-3.6-flash-high,False,0,255,1,0,0,1,0,1,0,1
210,gemini-3.6-flash-high,True,1,62123,0,0,0,0,0,0,0,0
211,gemini-3.6-flash-high,True,1,21896,0,0,0,0,0,0,0,0
212,gemini-3.6-flash-high,True,1,129,0,0,0,0,0,0,0,0
213,gemini-3.6-flash-high,True,1,1556,0,0,0,0,0,0,0,0
214,gemini-3.6-flash-high,True,1,13,0,0,0,0,0,0,0,0
215,gemini-3.6-flash-high,True,1,13460,1,0,0,1,0,1,0,1
216,gemini-3.6-flash-high,True,1,91,0,0,0,0,0,0,0,0
217,gemini-3.6-flash-high,False,0,38,1,0,0,1,0,1,0,1
218,gemini-3.6-flash-high,False,0,4,0,0,0,0,1,1,1,1
219,gemini-3.6-flash-high,True,1,139,0,0,0,0,0,0,0,0
220,gemini-3.6-flash-high,True,1,24822,1,1,0,1,0,1,0,1
221,gemini-3.6-flash-high,True,1,71,0,0,0,0,0,0,0,0
222,gemini-3.6-flash-high,True,1,4541,0,0,0,0,0,0,0,0
223,gemini-3.6-flash-high,True,1,42543,0,0,0,0,0,0,0,0
224,gemini-3.6-flash-high,True,1,4541,0,0,0,0,0,0,0,0
225,gemini-3.6-flash-high,True,1,15061,0,0,0,0,0,0,0,0
226,gemini-3.6-flash-high,True,1,14,0,0,0,0,0,0,0,0
227,gemini-3.6-flash-high,True,1,845,0,0,0,0,0,0,0,0
228,gemini-3.6-flash-high,True,1,62123,1,0,0,1,0,1,0,1
229,gemini-3.6-flash-high,True,1,19810,0,0,0,0,0,0,0,0
230,gemini-3.6-flash-high,True,1,21641,0,0,0,0,0,0,0,0
231,gemini-3.6-flash-high,True,1,7526,0,0,0,0,0,0,0,0
232,gemini-3.6-flash-high,True,1,15526,0,0,0,0,0,0,0,0
233,gemini-3.6-flash-high,True,1,2022,0,0,0,0,0,0,0,0
234,gemini-3.6-flash-high,True,1,8,0,0,0,0,0,0,1,1
235,gemini-3.6-flash-high,False,0,7,1,0,0,1,0,1,1,1
236,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
237,gemini-3.6-flash-high,True,1,432,0,0,0,0,0,0,0,0
238,gemini-3.6-flash-high,True,1,211,0,0,0,0,0,0,0,0
239,gemini-3.6-flash-high,True,1,1139,0,0,0,0,0,0,0,0
240,gemini-3.6-flash-high,True,1,332,0,0,0,0,0,0,0,0
241,gemini-3.6-flash-high,True,1,2876,0,0,0,0,0,0,0,0
242,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
243,gemini-3.6-flash-high,True,1,13460,0,0,0,0,0,0,0,0
244,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
245,gemini-3.6-flash-high,True,1,376,0,0,0,0,0,0,0,0
246,gemini-3.6-flash-high,True,1,27005,0,0,0,0,0,0,0,0
247,gemini-3.6-flash-high,True,1,4265,0,0,0,0,0,0,0,0
248,gemini-3.6-flash-high,True,1,1839,0,0,0,0,0,0,0,0
249,gemini-3.6-flash-high,True,1,27005,0,0,0,0,0,0,0,0
250,gemini-3.6-flash-high,True,1,939,0,0,0,0,0,0,0,0
251,gemini-3.6-flash-high,True,1,190,0,0,0,0,0,0,0,0
252,gemini-3.6-flash-high,False,0,8707,1,0,0,1,0,1,0,1
253,gemini-3.6-flash-high,True,1,3482,0,0,0,0,0,0,0,0
254,gemini-3.6-flash-high,True,1,49663,0,0,0,0,0,0,0,0
255,gemini-3.6-flash-high,True,1,49663,0,0,0,0,0,0,0,0
256,gemini-3.6-flash-high,True,1,5754,0,0,0,0,0,0,0,0
