Extraction method,Reactants,Reactants,Reagents,Reagents,Product,Product,Reaction
,Precision (%),Recall (%),Precision (%),Recall (%),Precision (%),Recall (%),"Accuracy (%, 95% Wilson CI)"
Original data,80.3125,84.8185,73.8836,76.9014,97.5741,94.7644,37.8092 (32.3584–43.5865)
qwen-3.5-9B (none),93.8144,90.0990,96.0754,86.5629,98.3425,93.1937,72.7915 (67.3271–77.6455)
qwen-3.5-9B (low),94.1901,88.2838,97.4400,86.1386,98.5955,91.8848,73.8516 (68.4367–78.6276)
qwen-3.5-9B (high),95.5963,85.9736,96.8333,82.2946,99.1202,88.4817,70.6714 (65.1187–75.6704)
fine-tuned qwen-3.5-9B (none),95.8707,88.1188,97.3228,87.4116,98.8539,90.3141,76.3251 (71.0406–80.9045)
fine-tuned qwen-3.5-9B (low),95.6063,89.7690,97.0543,88.5431,98.8764,92.1466,77.3852 (72.1633–81.8735)
fine-tuned qwen-3.5-9B (high),96.1131,89.7690,96.9040,88.4181,99.4350,92.1466,77.7385 (72.5385–82.1955)
gpt-4.1-mini (none),95.4466,89.9340,96.0568,86.2606,99.1597,92.6702,68.5512 (62.9238–73.6818)
fine-tuned gpt-4.1-mini (none),95.8124,94.3894,97.2973,91.6549,98.6667,96.8586,82.3322 (77.4643–86.3341)
gpt-5.4 (none),97.1930,91.4191,98.7539,89.9291,99.1713,93.9791,81.9788 (77.0819–86.0192)
gpt-5.4 (low),97.0123,91.0891,98.7673,90.7932,98.8889,93.1937,83.7456 (79.0001–87.5872)
gpt-5.4 (high),98.3333,87.0492,99.5161,87.5177,99.7059,88.0519,83.7456 (79.0001–87.5872)
gpt-5.6-sol (none),96.5779,83.8284,97.3333,82.8369,98.8024,86.3874,77.3852 (72.1633–81.8735)
gpt-5.6-sol (low),96.2617,84.4262,98.1324,82.1023,99.1124,87.0130,78.7986 (73.6671–83.1587)
gpt-5.6-sol (high),97.2710,81.8033,98.2270,78.6932,99.6933,84.4156,75.9717 (70.6673–80.5805)
gemini-2.5-flash (none),96.4476,89.0164,98.4227,88.5106,98.8764,91.4286,80.2120 (75.1792–84.4356)
gemini-3.1-pro-preview (low),96.7568,88.0328,98.8836,87.6945,99.4302,90.6494,80.2120 (75.1792–84.4356)
gemini-3.1-pro-preview (high),96.5217,91.5842,98.3025,90.0990,99.7230,94.2408,84.4523 (79.7722–88.2096)
gemini-3.6-flash (low),97.0175,91.2541,99.0551,88.9675,99.4444,93.7173,84.4523 (79.7722–88.2096)
gemini-3.6-flash (high),96.6330,94.7195,98.3824,94.7592,99.1957,96.8586,86.5724 (82.1067–90.0586)
