method,extraction_method,evaluated_reactions,excluded_reactions,reactants_tp,reactants_fp,reactants_fn,reactants_precision,reactants_recall,reagents_tp,reagents_fp,reagents_fn,reagents_precision,reagents_recall,products_tp,products_fp,products_fn,products_precision,products_recall,reaction_correct,reaction_incorrect,reaction_accuracy,reaction_accuracy_ci_lower,reaction_accuracy_ci_upper
original_data,Original data,283,117,514,126,92,0.803125,0.848185,546,193,164,0.738836,0.769014,362,9,20,0.975741,0.947644,107,176,0.378092,0.323584,0.435865
qwen-3.5-9b-off,qwen-3.5-9B (none),283,117,546,36,60,0.938144,0.900990,612,25,95,0.960754,0.865629,356,6,26,0.983425,0.931937,206,77,0.727915,0.673271,0.776455
qwen-3.5-9b-low,qwen-3.5-9B (low),283,117,535,33,71,0.941901,0.882838,609,16,98,0.974400,0.861386,351,5,31,0.985955,0.918848,209,74,0.738516,0.684367,0.786276
qwen-3.5-9b-high,qwen-3.5-9B (high),283,117,521,24,85,0.955963,0.859736,581,19,125,0.968333,0.822946,338,3,44,0.991202,0.884817,200,83,0.706714,0.651187,0.756704
qwen-3.5-9b-ft-off,fine-tuned qwen-3.5-9B (none),283,117,534,23,72,0.958707,0.881188,618,17,89,0.973228,0.874116,345,4,37,0.988539,0.903141,216,67,0.763251,0.710406,0.809045
qwen-3.5-9b-ft-low,fine-tuned qwen-3.5-9B (low),283,117,544,25,62,0.956063,0.897690,626,19,81,0.970543,0.885431,352,4,30,0.988764,0.921466,219,64,0.773852,0.721633,0.818735
qwen-3.5-9b-ft-high,fine-tuned qwen-3.5-9B (high),283,117,544,22,62,0.961131,0.897690,626,20,82,0.969040,0.884181,352,2,30,0.994350,0.921466,220,63,0.777385,0.725385,0.821955
gpt-4.1-mini-nonreasoning-shared,gpt-4.1-mini (none),283,117,545,26,61,0.954466,0.899340,609,25,97,0.960568,0.862606,354,3,28,0.991597,0.926702,194,89,0.685512,0.629238,0.736818
gpt-4.1-mini-ft-nonreasoning-shared,fine-tuned gpt-4.1-mini (none),283,117,572,25,34,0.958124,0.943894,648,18,59,0.972973,0.916549,370,5,12,0.986667,0.968586,233,50,0.823322,0.774643,0.863341
gpt-5.4-none,gpt-5.4 (none),283,117,554,16,52,0.971930,0.914191,634,8,71,0.987539,0.899291,359,3,23,0.991713,0.939791,232,51,0.819788,0.770819,0.860192
gpt-5.4-low,gpt-5.4 (low),283,117,552,17,54,0.970123,0.910891,641,8,65,0.987673,0.907932,356,4,26,0.988889,0.931937,237,46,0.837456,0.790001,0.875872
gpt-5.4-high,gpt-5.4 (high),283,117,531,9,79,0.983333,0.870492,617,3,88,0.995161,0.875177,339,1,46,0.997059,0.880519,237,46,0.837456,0.790001,0.875872
gpt-5.6-sol-none,gpt-5.6-sol (none),283,117,508,18,98,0.965779,0.838284,584,16,121,0.973333,0.828369,330,4,52,0.988024,0.863874,219,64,0.773852,0.721633,0.818735
gpt-5.6-sol-low,gpt-5.6-sol (low),283,117,515,20,95,0.962617,0.844262,578,11,126,0.981324,0.821023,335,3,50,0.991124,0.870130,223,60,0.787986,0.736671,0.831587
gpt-5.6-sol-high,gpt-5.6-sol (high),283,117,499,14,111,0.972710,0.818033,554,10,150,0.982270,0.786932,325,1,60,0.996933,0.844156,215,68,0.759717,0.706673,0.805805
gemini-2.5-flash-none,gemini-2.5-flash (none),283,117,543,20,67,0.964476,0.890164,624,10,81,0.984227,0.885106,352,4,33,0.988764,0.914286,227,56,0.802120,0.751792,0.844356
gemini-3.1-pro-preview-low,gemini-3.1-pro-preview (low),283,117,537,18,73,0.967568,0.880328,620,7,87,0.988836,0.876945,349,2,36,0.994302,0.906494,227,56,0.802120,0.751792,0.844356
gemini-3.1-pro-preview-high,gemini-3.1-pro-preview (high),283,117,555,20,51,0.965217,0.915842,637,11,70,0.983025,0.900990,360,1,22,0.997230,0.942408,239,44,0.844523,0.797722,0.882096
gemini-3.6-flash-low,gemini-3.6-flash (low),283,117,553,17,53,0.970175,0.912541,629,6,78,0.990551,0.889675,358,2,24,0.994444,0.937173,239,44,0.844523,0.797722,0.882096
gemini-3.6-flash-high,gemini-3.6-flash (high),283,117,574,20,32,0.966330,0.947195,669,11,37,0.983824,0.947592,370,3,12,0.991957,0.968586,245,38,0.865724,0.821067,0.900586
