Extraction method,Reactants,Reactants,Reagents,Reagents,Product,Product,Reaction
,Precision (%),Recall (%),Precision (%),Recall (%),Precision (%),Recall (%),"Accuracy (%, 95% Wilson CI)"
Original data,80.3125,84.8185,73.8836,76.9014,97.5741,94.7644,37.8092 (32.3584–43.5865)
qwen-3.5-9B,94.1901,88.2838,97.4400,86.1386,98.5955,91.8848,73.8516 (68.4367–78.6276)
fine-tuned qwen-3.5-9B,96.1131,89.7690,96.9040,88.4181,99.4350,92.1466,77.7385 (72.5385–82.1955)
gpt-4.1-mini,95.4466,89.9340,96.0568,86.2606,99.1597,92.6702,68.5512 (62.9238–73.6818)
fine-tuned gpt-4.1-mini,95.8124,94.3894,97.2973,91.6549,98.6667,96.8586,82.3322 (77.4643–86.3341)
gpt-5.4,97.0123,91.0891,98.7673,90.7932,98.8889,93.1937,83.7456 (79.0001–87.5872)
gpt-5.6-sol,96.2617,84.4262,98.1324,82.1023,99.1124,87.0130,78.7986 (73.6671–83.1587)
gemini-2.5-flash,96.4476,89.0164,98.4227,88.5106,98.8764,91.4286,80.2120 (75.1792–84.4356)
gemini-3.1-pro-preview,96.5217,91.5842,98.3025,90.0990,99.7230,94.2408,84.4523 (79.7722–88.2096)
gemini-3.6-flash,96.6330,94.7195,98.3824,94.7592,99.1957,96.8586,86.5724 (82.1067–90.0586)
