model,heuristic,heuristic_type,noise_free_reactions,noisy_reactions,total_reactions,passed_tp,filtered_fn,passed_fp,filtered_tn,noise_free_data_saved_rate,noisy_data_filtered_rate,denoising_accuracy
qwen-3.5-9b-off,many_products,Many-products,283,117,400,193,90,106,11,0.681979,0.094017,0.510000
qwen-3.5-9b-off,many_reactants,Many-reactants,283,117,400,236,47,85,32,0.833922,0.273504,0.670000
qwen-3.5-9b-off,many_reagents,Many-reagents,283,117,400,242,41,113,4,0.855124,0.034188,0.615000
qwen-3.5-9b-off,no_reagent,No-reagent,283,117,400,233,50,82,35,0.823322,0.299145,0.670000
qwen-3.5-9b-off,rare_template,Template-anomaly,283,117,400,236,47,63,54,0.833922,0.461538,0.725000
qwen-3.5-9b-low,many_products,Many-products,283,117,400,195,88,106,11,0.689046,0.094017,0.515000
qwen-3.5-9b-low,many_reactants,Many-reactants,283,117,400,237,46,82,35,0.837456,0.299145,0.680000
qwen-3.5-9b-low,many_reagents,Many-reagents,283,117,400,243,40,112,5,0.858657,0.042735,0.620000
qwen-3.5-9b-low,no_reagent,No-reagent,283,117,400,235,48,77,40,0.830389,0.341880,0.687500
qwen-3.5-9b-low,rare_template,Template-anomaly,283,117,400,234,49,69,48,0.826855,0.410256,0.705000
qwen-3.5-9b-high,many_products,Many-products,283,117,400,199,84,106,11,0.703180,0.094017,0.525000
qwen-3.5-9b-high,many_reactants,Many-reactants,283,117,400,238,45,85,32,0.840989,0.273504,0.675000
qwen-3.5-9b-high,many_reagents,Many-reagents,283,117,400,243,40,113,4,0.858657,0.034188,0.617500
qwen-3.5-9b-high,no_reagent,No-reagent,283,117,400,239,44,78,39,0.844523,0.333333,0.695000
qwen-3.5-9b-high,rare_template,Template-anomaly,283,117,400,226,57,68,49,0.798587,0.418803,0.687500
qwen-3.5-9b-ft-off,many_products,Many-products,283,117,400,201,82,104,13,0.710247,0.111111,0.535000
qwen-3.5-9b-ft-off,many_reactants,Many-reactants,283,117,400,238,45,79,38,0.840989,0.324786,0.690000
qwen-3.5-9b-ft-off,many_reagents,Many-reagents,283,117,400,238,45,110,7,0.840989,0.059829,0.612500
qwen-3.5-9b-ft-off,no_reagent,No-reagent,283,117,400,236,47,81,36,0.833922,0.307692,0.680000
qwen-3.5-9b-ft-off,rare_template,Template-anomaly,283,117,400,238,45,69,48,0.840989,0.410256,0.715000
qwen-3.5-9b-ft-low,many_products,Many-products,283,117,400,198,85,106,11,0.699647,0.094017,0.522500
qwen-3.5-9b-ft-low,many_reactants,Many-reactants,283,117,400,235,48,79,38,0.830389,0.324786,0.682500
qwen-3.5-9b-ft-low,many_reagents,Many-reagents,283,117,400,240,43,110,7,0.848057,0.059829,0.617500
qwen-3.5-9b-ft-low,no_reagent,No-reagent,283,117,400,236,47,78,39,0.833922,0.333333,0.687500
qwen-3.5-9b-ft-low,rare_template,Template-anomaly,283,117,400,240,43,72,45,0.848057,0.384615,0.712500
qwen-3.5-9b-ft-high,many_products,Many-products,283,117,400,201,82,105,12,0.710247,0.102564,0.532500
qwen-3.5-9b-ft-high,many_reactants,Many-reactants,283,117,400,236,47,80,37,0.833922,0.316239,0.682500
qwen-3.5-9b-ft-high,many_reagents,Many-reagents,283,117,400,238,45,111,6,0.840989,0.051282,0.610000
qwen-3.5-9b-ft-high,no_reagent,No-reagent,283,117,400,238,45,79,38,0.840989,0.324786,0.690000
qwen-3.5-9b-ft-high,rare_template,Template-anomaly,283,117,400,239,44,69,48,0.844523,0.410256,0.717500
gpt-4.1-mini-nonreasoning-shared,many_products,Many-products,283,117,400,196,87,101,16,0.692580,0.136752,0.530000
gpt-4.1-mini-nonreasoning-shared,many_reactants,Many-reactants,283,117,400,238,45,81,36,0.840989,0.307692,0.685000
gpt-4.1-mini-nonreasoning-shared,many_reagents,Many-reagents,283,117,400,239,44,113,4,0.844523,0.034188,0.607500
gpt-4.1-mini-nonreasoning-shared,no_reagent,No-reagent,283,117,400,230,53,75,42,0.812721,0.358974,0.680000
gpt-4.1-mini-nonreasoning-shared,rare_template,Template-anomaly,283,117,400,237,46,69,48,0.837456,0.410256,0.712500
gpt-4.1-mini-ft-nonreasoning-shared,many_products,Many-products,283,117,400,191,92,101,16,0.674912,0.136752,0.517500
gpt-4.1-mini-ft-nonreasoning-shared,many_reactants,Many-reactants,283,117,400,238,45,82,35,0.840989,0.299145,0.682500
gpt-4.1-mini-ft-nonreasoning-shared,many_reagents,Many-reagents,283,117,400,237,46,111,6,0.837456,0.051282,0.607500
gpt-4.1-mini-ft-nonreasoning-shared,no_reagent,No-reagent,283,117,400,232,51,76,41,0.819788,0.350427,0.682500
gpt-4.1-mini-ft-nonreasoning-shared,rare_template,Template-anomaly,283,117,400,245,38,72,45,0.865724,0.384615,0.725000
gpt-5.4-none,many_products,Many-products,283,117,400,193,90,103,14,0.681979,0.119658,0.517500
gpt-5.4-none,many_reactants,Many-reactants,283,117,400,240,43,86,31,0.848057,0.264957,0.677500
gpt-5.4-none,many_reagents,Many-reagents,283,117,400,239,44,113,4,0.844523,0.034188,0.607500
