,Issue,title,paragraph,GPT_finetuned_five,GPT_finetuned_five_smiles,GPT_finetuned_five_skeleton,GPT_finetuned_five_rxn
0,['many_product (> 1)'],(+)-tartrate,"(±)-Ethyl nipecotate (70.16 g, 71ml) and (+)-tartaric acid (67 g) were dissolved in hot 95% ethanol (350 ml). The resulting solution was allowed to slowly cool to room temperature and refrigerated overnight. The crystals were filtered, washed with cold ethanol, and recrystallized from 95% ethanol (550 ml), cooling as before to give the (+)-tartrate salt of (+)-ethyl nipecotate (42.9 g). M.p. 155-156° C.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""ethyl nipecotate"",
  ""B"": ""tartaric acid"",
  ""C"": ""ethanol""
 },
 ""Product"": {
  ""D"": ""(+)-tartrate salt of (+)-ethyl nipecotate""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Dissolve)"": ""A+B+C->mixture1"",
  ""2 (Work-up-involve, Cool)"": ""mixture1->mixture2"",
  ""3 (Work-up, Crystallize and Wash)"": ""mixture2+C->mixture3"",
  ""4 (Work-up, Crystallize and Cool)"": ""mixture3+C->D""
 }
}","{'A': 'N1CC(C(=O)OCC)CCC1', 'B': 'C(C(O)C(O)C(=O)O)(=O)O', 'C': 'C(C)O', 'D': '[(+)-tartrate salt of (+)-ethyl nipecotate (NoSmi)]'}",['A.B.C>D'],['N1CC(C(=O)OCC)CCC1.C(C(O)C(O)C(=O)O)(=O)O.C(C)O>[(+)-tartrate salt of (+)-ethyl nipecotate (NoSmi)]']
1,['many_product (> 1)'],2-{[[4-(3-Chloropropylthio)-3-methoxy-2-pyridinyl]-methyl]thio}-1H-benzimidazole Dihydrochloride,"2-Mercapto-1H-benzimidazole (10 g) and 2-chloromethyl-4-(3-chloropropylthio)-3-methoxypyridine hydrochloride (1 equivalent) are stirred in 150 ml of isopropanol and 15 ml of water at 80° C. for 5 hours, the mixture is cooled and the solid which has precipitated out is filtered off and recrystallized from isopropanol/water. The title compound is obtained as a pale brown powder; melting point 117°-119° C. (decomposition); yield: 67% of theory.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""2-Mercapto-1H-benzimidazole"",
  ""B"": ""2-chloromethyl-4-(3-chloropropylthio)-3-methoxypyridine hydrochloride"",
  ""C"": ""isopropanol"",
  ""D"": ""water""
 },
 ""Product"": {
  ""E"": ""2-{[[4-(3-Chloropropylthio)-3-methoxy-2-pyridinyl]-methyl]thio}-1H-benzimidazole Dihydrochloride""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Heat)"": ""A+B+C+D->mixture1"",
  ""2 (Work-up-involve, Cool)"": ""mixture1->mixture2"",
  ""3 (Work-up, Crystallize)"": ""mixture2+C+D->E""
 }
}","{'A': 'SC1=NC2=C(N1)C=CC=C2', 'B': 'Cl.ClCC1=NC=CC(=C1OC)SCCCCl', 'C': 'C(C)(C)O', 'D': 'O', 'E': 'Cl.Cl.ClCCCSC1=C(C(=NC=C1)CSC1=NC2=C(N1)C=CC=C2)OC'}",['A.B.C.D>E'],['SC1=NC2=C(N1)C=CC=C2.Cl.ClCC1=NC=CC(=C1OC)SCCCCl.C(C)(C)O.O>Cl.Cl.ClCCCSC1=C(C(=NC=C1)CSC1=NC2=C(N1)C=CC=C2)OC']
2,['many_product (> 1)'],"4-(3,4-dichloroanilino)-6-fluoroquinazoline hydrochloride","A mixture of 4-chloro-6-fluoroquinazoline (2 g), 3,4-dichloroaniline (1.78 g) and isopropanol (30 ml) was heated at reflux for 2 hours. The resulting solid was filtered off, washed with isopropanol and with diethyl ether to give 4-(3,4-dichloroanilino)-6-fluoroquinazoline hydrochloride (3.2 g), m.p. >300° C.; NMR Spectrum: (CD3SOCD3) 7.74 (d, 1H), 7.88 (m, 1H), 8.07 (m, 2H), 8.24 (d, 1H), 8.97 (m, 1H), 8.98 (s, 1H);","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""4-chloro-6-fluoroquinazoline"",
  ""B"": ""3,4-dichloroaniline"",
  ""C"": ""isopropanol"",
  ""D"": ""diethyl ether""
 },
 ""Product"": {
  ""E"": ""4-(3,4-dichloroanilino)-6-fluoroquinazoline hydrochloride""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Heat)"": ""A+B+C->mixture1"",
  ""2 (Work-up, Purify)"": ""mixture1->mixture2"",
  ""3 (Work-up, Wash)"": ""mixture2+C+D->E""
 }
}","{'A': 'ClC1=NC=NC2=CC=C(C=C12)F', 'B': 'ClC=1C=C(N)C=CC1Cl', 'C': 'C(C)(C)O', 'D': 'C(C)OCC', 'E': 'Cl.ClC=1C=C(NC2=NC=NC3=CC=C(C=C23)F)C=CC1Cl'}",['A.B.C>E'],['ClC1=NC=NC2=CC=C(C=C12)F.ClC=1C=C(N)C=CC1Cl.C(C)(C)O>Cl.ClC=1C=C(NC2=NC=NC3=CC=C(C=C23)F)C=CC1Cl']
3,['many_product (> 1)'],"2-[4-[4-[4-[4-[[2-(2,4-difluorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]-phenyl]-1-piperazinyl]-phenyl]-4,5-dihydro-5-oxo-1H-1,2,4-triazol-1-yl]-1-methylpropyl L-phenylalanine (Z)-2-butenedioate","Compound 23 (0.00359 mol) was dissolved in 2-propanone (25 ml). A solution of (Z)-2-butenedioic acid (0.00359 mol) in 2-propanone (5 ml) was added. The mixture was stirred for 16 hours. The precipitate was filtered off, washed with 2-propanone (2.5 ml), and dried, yielding 3.12 g [2S-[2α,4α[(R*,R*)]]]-2-[4-[4-[4-[4-[[2-(2,4-difluorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]-phenyl]-1-piperazinyl]-phenyl]-4,5-dihydro-5-oxo-1H-1,2,4-triazol-1-yl]-1-methylpropyl L-phenylalanine (Z)-2-butenedioate (1:1) (compound 25).","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""2-[4-[4-[4-[4-[[2-(2,4-difluorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]-phenyl]-1-piperazinyl]-phenyl]-4,5-dihydro-5-oxo-1H-1,2,4-triazol-1-yl]-1-methylpropyl L-phenylalanine"",
  ""B"": ""2-propanone"",
  ""C"": ""(Z)-2-butenedioic acid""
 },
 ""Product"": {
  ""D"": ""2-[4-[4-[4-[4-[[2-(2,4-difluorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]-phenyl]-1-piperazinyl]-phenyl]-4,5-dihydro-5-oxo-1H-1,2,4-triazol-1-yl]-1-methylpropyl L-phenylalanine (Z)-2-butenedioate""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add)"": ""A+B->mixture1"",
  ""2 (Reaction, Add)"": ""mixture1+C+B->mixture2"",
  ""3 (Work-up, Purify)"": ""mixture2+B->D""
 }
}","{'A': 'FC1=C(C=CC(=C1)F)C1(OCC(O1)COC1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(C=C1)N1C=NN(C1=O)C(C(C)N[C@@H](CC1=CC=CC=C1)C(=O)O)C)CN1N=CN=C1', 'B': 'CC(C)=O', 'C': 'C(\\C=C/C(=O)O)(=O)O', 'D': 'C(\\C=C/C(=O)O)(=O)O.FC1=C(C=CC(=C1)F)C1(OCC(O1)COC1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(C=C1)N1C=NN(C1=O)C(C(C)N[C@@H](CC1=CC=CC=C1)C(=O)O)C)CN1N=CN=C1'}",['A.B>B.C>D'],['FC1=C(C=CC(=C1)F)C1(OCC(O1)COC1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(C=C1)N1C=NN(C1=O)C(C(C)N[C@@H](CC1=CC=CC=C1)C(=O)O)C)CN1N=CN=C1.CC(C)=O>CC(C)=O.C(\\C=C/C(=O)O)(=O)O>C(\\C=C/C(=O)O)(=O)O.FC1=C(C=CC(=C1)F)C1(OCC(O1)COC1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(C=C1)N1C=NN(C1=O)C(C(C)N[C@@H](CC1=CC=CC=C1)C(=O)O)C)CN1N=CN=C1']
4,['many_product (> 1)'],"(+)-(5)6-Methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl]-1H-benzimidazole Sodium Salt","To a stirring suspension of 650 mg (1.89 mmol) of (+)5)6-methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl]-1H-benzimidazole in 6.5 mL of methyl ethyl ketone (MEK) in a 50 mL flask was added, at ambient temperature 0.39 mL of a 5M aqueous sodium hydroxide solution. To that mixture was added 13 mL of toluene. The resulting mixture was turbid, so an additional 6.5 mL of MEK was added and the mixture became a clear, yellow solution. This mixture was allowed to stir at ambient temperature overnight. The following morning, several crystals of 6-methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl]-1H-benzimidazole sodium salt were added to act as seed crystals, but no product crystals formed. A stream of dry nitrogen gas was blown over the mixture to begin removing the solvent After approximately 10 minutes, the product precipitated. The solids were isolated by vacuum filtration and washed with a small amount of diethyl ether. The solids were then placed into a vacuum desiccator to remove the last traces of ether, to yield approximately 500 mg of the desired product as an off-white powder.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""(+)-(5)6-methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl]-1H-benzimidazole"",
  ""B"": ""methyl ethyl ketone"",
  ""C"": ""sodium hydroxide solution"",
  ""D"": ""toluene"",
  ""E"": ""MEK"",
  ""F"": ""diethyl ether""
 },
 ""Product"": {
  ""G"": ""(+)-(5)6-methoxy-2-[[(4-methoxy-3,5-dimethyl-2-pyridinyl)methyl]sulfinyl]-1H-benzimidazole sodium salt""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add)"": ""A+B+C+D->mixture1"",
  ""2 (Reaction, Add)"": ""mixture1+E->mixture2"",
  ""3 (Work-up-involve, Heat)"": ""mixture2->mixture3"",
  ""4 (Work-up, Purify and Wash)"": ""mixture3+F->G""
 }
}","{'A': 'CC1=CN=C(C(=C1OC)C)C[S@](=O)C2=NC3=C(N2)C=C(C=C3)OC', 'B': 'C(C)C(=O)C', 'C': '[OH-].[Na+]', 'D': 'CC1=CC=CC=C1', 'E': 'CCC(=O)C', 'F': 'C(C)OCC', 'G': 'CC1=CN=C(C(=C1OC)C)C[S@](=O)C2=NC3=C(N2)C=C(C=C3)OC.[Na]'}",['A.B.C.D>E>G'],['CC1=CN=C(C(=C1OC)C)C[S@](=O)C2=NC3=C(N2)C=C(C=C3)OC.C(C)C(=O)C.[OH-].[Na+].CC1=CC=CC=C1>CCC(=O)C>CC1=CN=C(C(=C1OC)C)C[S@](=O)C2=NC3=C(N2)C=C(C=C3)OC.[Na]']
5,['many_product (> 1)'],o-Bromobenzoic Acid Potassium Salt,"To a solution of o-bromobenzoic acid (201.03 g, 1.0 mol) in MeOH (500 mL), K2CO3 (69 g, 1.0 mol) was added. The mixture was concentrated to give the desired product (239.1 g, 1.0 mol, 100%).","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""o-bromobenzoic acid"",
  ""B"": ""MeOH"",
  ""C"": ""K2CO3""
 },
 ""Product"": {
  ""D"": ""o-Bromobenzoic Acid Potassium Salt""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add)"": ""A+B+C->mixture1"",
  ""2 (Work-up-involve, Concentrate)"": ""mixture1->D""
 }
}","{'A': 'BrC1=C(C(=O)O)C=CC=C1', 'B': 'CO', 'C': 'C(=O)([O-])[O-].[K+].[K+]', 'D': '[K+].BrC1=C(C(=O)[O-])C=CC=C1'}",['A.B.C>D'],['BrC1=C(C(=O)O)C=CC=C1.CO.C(=O)([O-])[O-].[K+].[K+]>[K+].BrC1=C(C(=O)[O-])C=CC=C1']
6,['many_product (> 1)'],"5,6-dihydro-4H-1,3a,6-triaza-as-indacene-8-carboxylic acid hydrobromide","A solution of 5,6-dihydro-4H-1,3a,6-triaza-as-indacene-8-carboxylic acid methyl ester (516 mg) and 48% hydrobromic acid (5 mL) is heated at 60° for 60 hours. The mixture is cooled to room temperature and concentrated in vacuo. The residue is slurried with diethyl ether and the ether is decanted off. This is repeated until no more color is visible in the ether layer. The remaining solid is dried in vacuo to give 5,6-dihydro-4H-1,3a,6-triaza-as-indacene-8-carboxylic acid hydrobromide, 350 mg, brown solid: 1H NMR(DMSO-d6) 3.17 (2H, t), 4.40 (2H, t), 7.35 (1H, d), 7.57 (1H, d), 7.63 (1H, s), 12.34 (1H, s), 12.45 (1H, s).","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""5,6-dihydro-4H-1,3a,6-triaza-as-indacene-8-carboxylic acid methyl ester"",
  ""B"": ""hydrobromic acid"",
  ""C"": ""diethyl ether""
 },
 ""Product"": {
  ""D"": ""5,6-dihydro-4H-1,3a,6-triaza-as-indacene-8-carboxylic acid hydrobromide""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Heat)"": ""A+B->mixture1"",
  ""2 (Work-up, Concentrate)"": ""mixture1->mixture2"",
  ""3 (Work-up, Wash)"": ""mixture2+C->mixture3"",
  ""4 (Work-up, Dry)"": ""mixture3->D""
 }
}","{'A': 'COC(=O)C1=CNC=2CCN3C=CN=C3C12', 'B': 'Br', 'C': 'C(C)OCC', 'D': 'Br.N=1C=CN2CCC=3NC=C(C3C12)C(=O)O'}",['A.B>D'],['COC(=O)C1=CNC=2CCN3C=CN=C3C12.Br>Br.N=1C=CN2CCC=3NC=C(C3C12)C(=O)O']
7,['many_product (> 1)'],"2-Amino-1-(2,4-difluorophenyl)-ethanol-hydrochloride","N-[2-(2,4-difluorophenyl)-2-hydroxy-ethyl]-formamide (1.0 g) was dissolved in methanol (2 mL), 4N hydrochloric acid/ethyl acetate (60 mL) was added. After stirring at 60° C. for 3 hours, the solution was allowed to cooled down to room temperature, and the solid that were generated by adding ethyl acetate (50 mL) was collected by filtration, washed with ethyl acetate, and the title compound (770 mg) was obtained as a colorless solid.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""N-[2-(2,4-difluorophenyl)-2-hydroxy-ethyl]-formamide"",
  ""B"": ""methanol"",
  ""C"": ""hydrochloric acid"",
  ""D"": ""ethyl acetate""
 },
 ""Product"": {
  ""E"": ""2-Amino-1-(2,4-difluorophenyl)-ethanol-hydrochloride""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add)"": ""A+B+C->mixture1"",
  ""2 (Reaction, Heat)"": ""mixture1->mixture2"",
  ""3 (Work-up-involve, Cool)"": ""mixture2->mixture3"",
  ""4 (Work-up, Add and Purify)"": ""mixture3+D->mixture4"",
  ""5 (Work-up, Wash)"": ""mixture4+D->mixture5"",
  ""6 (Work-up, Dry)"": ""mixture5->E""
 }
}","{'A': 'FC1=C(C=CC(=C1)F)C(CNC=O)O', 'B': 'CO', 'C': 'Cl', 'D': 'C(C)(=O)OCC', 'E': 'Cl.NCC(O)C1=C(C=C(C=C1)F)F'}",['A.B.C>E'],['FC1=C(C=CC(=C1)F)C(CNC=O)O.CO.Cl>Cl.NCC(O)C1=C(C=C(C=C1)F)F']
8,['many_product (> 1)'],magnesium valproate,"Surprisingly, the inventors have discovered that a heretofore unknown valproate salt, magnesium valproate hydrate, a white solid having the molecular formula C16H30O4Mg.x H2O, is recovered in high yields from an alcoholic solution of magnesium valproate by adding a polar, non-oxygen-containing organic solvent having a boiling point of about 130° C. or lower in a volume sufficient to reduce the solubility of the magnesium valproate in the resulting reaction mixture to less than about 0.01 g/mL. The polar, non-oxygen-containing organic solvent is acetonitrile, propionitrile, butyronitrile, or isobutyronitrile. Acetonitrile is most preferred.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""magnesium valproate"",
  ""B"": ""acetonitrile""
 },
 ""Product"": {
  ""C"": ""magnesium valproate hydrate""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add)"": ""A+B->mixture1"",
  ""2 (Work-up-involve, Heat)"": ""mixture1->C""
 }
}","{'A': 'C(C(CCC)CCC)(=O)[O-].[Mg+2].C(C(CCC)CCC)(=O)[O-]', 'B': 'C(C)#N', 'C': 'O.C(C(CCC)CCC)(=O)[O-].[Mg+2].C(C(CCC)CCC)(=O)[O-]'}",['A.B>C'],['C(C(CCC)CCC)(=O)[O-].[Mg+2].C(C(CCC)CCC)(=O)[O-].C(C)#N>O.C(C(CCC)CCC)(=O)[O-].[Mg+2].C(C(CCC)CCC)(=O)[O-]']
9,['many_product (> 1)'],"Biphenyl-2-ylcarbamic Acid 1-{9-[(R)-2-Hydroxy-2-(8-Hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl Ester Naphthalene-1,5-disulfonic Acid Salt","Biphenyl-2-ylcarbamic acid 1-{9-[(R)-2-hydroxy-2-(8-hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl ester (1.0 g, 1.56 mmol, free base) was dissolved in methanol (10 mL; low water content). A solution of naphthalene-1,5-disulfonic acid (0.45 g, 1.56 mmol) in methanol (5 mL; low water content) was added and the reaction mixture was stirred at 30° C. for two hours and then at room temperature overnight (18 h). The resulting thick slurry was filtered and the filtrate cake was washed with methanol (5 mL) and then dried to give the title compound (1.16 g, 80% yield) as off-white crystalline solid.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""Biphenyl-2-ylcarbamic acid 1-{9-[(R)-2-hydroxy-2-(8-hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl ester"",
  ""B"": ""methanol"",
  ""C"": ""naphthalene-1,5-disulfonic acid""
 },
 ""Product"": {
  ""D"": ""Biphenyl-2-ylcarbamic Acid 1-{9-[(R)-2-Hydroxy-2-(8-Hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethylamino]nonyl}piperidin-4-yl Ester Naphthalene-1,5-disulfonic Acid Salt""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add)"": ""A+B+C->mixture1"",
  ""2 (Work-up, Purify)"": ""mixture1->mixture2"",
  ""3 (Work-up, Wash)"": ""mixture2+B->mixture3"",
  ""4 (Work-up, Dry)"": ""mixture3->D""
 }
}","{'A': 'O[C@@H](CNCCCCCCCCCN1CCC(CC1)OC(NC1=C(C=CC=C1)C1=CC=CC=C1)=O)C1=C2C=CC(NC2=C(C=C1)O)=O', 'B': 'CO', 'C': 'C1(=CC=CC=2C(=CC=CC12)S(=O)(=O)O)S(=O)(=O)O', 'D': 'C1(=CC=CC=2C(=CC=CC12)S(=O)(=O)O)S(=O)(=O)O.O[C@@H](CNCCCCCCCCCN1CCC(CC1)OC(NC1=C(C=CC=C1)C1=CC=CC=C1)=O)C1=C2C=CC(NC2=C(C=C1)O)=O'}",['A.B.C>D'],['O[C@@H](CNCCCCCCCCCN1CCC(CC1)OC(NC1=C(C=CC=C1)C1=CC=CC=C1)=O)C1=C2C=CC(NC2=C(C=C1)O)=O.CO.C1(=CC=CC=2C(=CC=CC12)S(=O)(=O)O)S(=O)(=O)O>C1(=CC=CC=2C(=CC=CC12)S(=O)(=O)O)S(=O)(=O)O.O[C@@H](CNCCCCCCCCCN1CCC(CC1)OC(NC1=C(C=CC=C1)C1=CC=CC=C1)=O)C1=C2C=CC(NC2=C(C=C1)O)=O']
